Event,Site,Date,Round,White,Black,Result,FinalFEN
FICS rated standard game,FICS freechess.org,2023.01.30,?,Alexbourg,scalaQueen,1-0,8/8/8/8/3Q4/1K6/1P3Q2/5k2 b - - 8 54
FICS rated standard game,FICS freechess.org,2023.01.30,?,scalaQueen,Alexbourg,1-0,2Q1kb1r/p2npppp/1rp5/8/P2P1P2/2P2P2/2P2PKP/R4R2 b k - 2 18
FICS rated standard game,FICS freechess.org,2023.01.30,?,Alexbourg,scalaQueen,1-0,8/4K3/8/8/8/6P1/5Q2/k1Q5 b - - 10 68
FICS rated standard game,FICS freechess.org,2023.01.29,?,ArasanX,exeComp,1/2-1/2,3B4/7p/4k2P/8/5K2/8/b7/8 w - - 100 179
FICS rated standard game,FICS freechess.org,2023.01.29,?,Notarious,ArasanX,1/2-1/2,1k1b3r/1p1r1p2/p7/4pb1p/1P6/P1RPBB1P/4KP2/7R b - - 8 28
FICS rated standard game,FICS freechess.org,2023.01.29,?,ArasanX,Notarious,1/2-1/2,2Q1n3/1p3pk1/p1p5/2PpN1p1/1P1Pq1P1/8/P4P2/5K2 b - - 13 43
FICS rated standard game,FICS freechess.org,2023.01.29,?,Aromas,IFDStock,0-1,1r3r1k/p2bq2P/2pp2p1/4b1P1/1p1NP1p1/3RQ3/PPP5/1K5R w - - 1 24
FICS rated standard game,FICS freechess.org,2023.01.29,?,Aromas,IFDThor,0-1,7k/1pp1q2n/1r1pB3/p2Pp2Q/2P1P1pP/P1P5/2K3P1/5r2 w - - 0 31
FICS rated standard game,FICS freechess.org,2023.01.29,?,exeComp,ArasanX,1-0,3q4/p2P1p1k/1pR3pp/8/2p1P3/8/3R4/5K2 b - - 1 59
FICS rated standard game,FICS freechess.org,2023.01.29,?,aRabatib,exeComp,0-1,2kr4/1pp1b1pp/p1p5/4P3/3P1r2/4Bn1q/PP3P2/R2R1QK1 w - - 2 24
FICS rated standard game,FICS freechess.org,2023.01.29,?,GriffyJr,family,1-0,2br1bQk/3nNp2/p6p/1p2P3/2pnBP2/8/PP5P/5RK1 b - - 6 34
FICS unrated standard game,FICS freechess.org,2023.01.29,?,isemeria,geolas,1-0,1r5k/8/3p4/3Pp3/2Q1P3/7q/7R/2N3K1 b - - 6 49
FICS rated standard game,FICS freechess.org,2023.01.29,?,damouno,mcstorytaller,1-0,1rq2bk1/1p1r3p/B1p1b1p1/P1PpPp2/3B1P2/2Q1P2P/1R4P1/1R4K1 b - - 0 27
FICS rated standard game,FICS freechess.org,2023.01.29,?,ArasanX,Notarious,1/2-1/2,4r3/5pk1/7p/2p5/2q1nQ2/5BP1/5R1P/6K1 w - - 10 43
FICS rated standard game,FICS freechess.org,2023.01.29,?,mcstorytaller,damouno,0-1,6k1/6pp/p3p3/1p1pP3/6Pb/P3Pq2/1P5Q/3N3K w - - 2 32
FICS rated standard game,FICS freechess.org,2023.01.29,?,Notarious,ArasanX,1/2-1/2,8/8/4k3/2r4p/6p1/6P1/7K/1R6 w - - 100 144
FICS unrated standard game,FICS freechess.org,2023.01.29,?,GMJergusPechac,GMLami,0-1,5k2/4b3/2b1P1p1/p1p1ppP1/P6q/5PK1/2B4r/R2Q3R w - - 9 50
FICS rated standard game,FICS freechess.org,2023.01.29,?,guarionex,YurijNone,0-1,8/8/3b1k2/1r5p/4K3/p6P/R7/8 w - - 4 52
FICS rated standard game,FICS freechess.org,2023.01.29,?,ArasanX,Notarious,1/2-1/2,5k2/R7/8/4pp1B/7P/pb2P1P1/5PK1/r7 w - - 24 64
FICS unrated standard game,FICS freechess.org,2023.01.29,?,GMRPraggnanandhaa,GMSo,1/2-1/2,8/8/8/5k2/7K/8/8/8 b - - 0 52
FICS rated standard game,FICS freechess.org,2023.01.29,?,Notarious,ArasanX,1/2-1/2,8/6K1/5p2/3k2p1/5rP1/8/4R3/8 b - - 31 82
FICS rated standard game,FICS freechess.org,2023.01.29,?,konozrout,SEPry,1-0,1R6/4k3/8/3B2p1/2PP4/8/5K2/8 b - - 0 57
FICS rated standard game,FICS freechess.org,2023.01.29,?,Slek,Betin,1-0,8/8/3kPp2/P2P3p/5K2/8/8/8 b - - 0 51
FICS rated standard game,FICS freechess.org,2023.01.29,?,exeComp,Ruvarashe,1-0,2rr1nk1/p3bpp1/Qp1pp2p/4P3/PB1P3P/5N2/1P3PPK/8 b - - 0 22
FICS rated standard game,FICS freechess.org,2023.01.29,?,hastrman,Achonk,1-0,3Q3k/6pp/3p4/3Bp3/2PnP3/R5P1/1q5P/R6K b - - 0 34
FICS rated standard game,FICS freechess.org,2023.01.29,?,Ruvarashe,exeComp,0-1,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
FICS rated standard game,FICS freechess.org,2023.01.29,?,blore,Slek,0-1,2k1r3/pp3p1p/5p2/3p1q2/3P4/2n5/PP4PP/R3KR2 w - - 0 22
FICS rated standard game,FICS freechess.org,2023.01.29,?,GoldBarMM,pikozrout,1-0,1r3b1k/pP3r1p/5n2/3BB3/5pp1/2R3P1/P3PP1P/3R2K1 b - - 1 30
FICS rated standard game,FICS freechess.org,2023.01.29,?,Slek,blore,1-0,7k/8/3Q3p/1K1Pp3/8/1P6/P2r4/8 b - - 0 47
FICS rated standard game,FICS freechess.org,2023.01.29,?,KnightMeKing,damouno,0-1,8/8/7p/7P/8/1pk3r1/p7/1K5R w - - 0 69
FICS rated standard game,FICS freechess.org,2023.01.29,?,damouno,KnightMeKing,1-0,8/8/pPkP4/4B3/4K3/8/8/8 b - - 0 45
FICS rated standard game,FICS freechess.org,2023.01.29,?,KnightMeKing,damouno,1-0,5r2/3n1pN1/1p5p/p2pPk2/2nP3R/8/PPrN1K1P/6R1 b - - 10 32
FICS rated standard game,FICS freechess.org,2023.01.29,?,damouno,KnightMeKing,1-0,8/6p1/8/Q4PKP/P1pk4/8/8/8 b - - 0 56
FICS rated standard game,FICS freechess.org,2023.01.29,?,KnightMeKing,damouno,0-1,r5k1/7p/1p4p1/1P2Pp2/Pn1Pp3/1qp1P2P/4R1P1/R1B3K1 w - - 4 33
FICS rated standard game,FICS freechess.org,2023.01.29,?,damouno,Slek,0-1,8/8/3K4/2p5/1b1k4/8/8/8 w - - 1 63
FICS rated standard game,FICS freechess.org,2023.01.29,?,Slek,damouno,1/2-1/2,5R2/8/6P1/8/4k3/4p3/6r1/4K3 w - - 10 56
FICS rated standard game,FICS freechess.org,2023.01.29,?,damouno,blore,1-0,8/1k1R4/1P6/2K5/8/8/8/7r b - - 4 91
